iter	Logloss
0	0.6829608375
1	0.6736736448
2	0.6648288805
3	0.6564178811
4	0.6485412688
5	0.641434983
6	0.634634741
7	0.6282125638
8	0.622282189
9	0.6165432645
10	0.6113373014
11	0.6063482468
12	0.6015024113
13	0.5971502952
14	0.5932720594
15	0.5894930046
16	0.5859355067
17	0.5823351169
18	0.5793404759
19	0.5764332823
20	0.5733635791
21	0.5707891821
22	0.5682675523
23	0.5660752371
24	0.5638381402
25	0.5616883059
26	0.5597940352
27	0.5580842523
28	0.5562464307
29	0.5546001349
30	0.5530874185
31	0.5515477538
32	0.5502750757
33	0.5490796749
34	0.5479067803
35	0.5464689423
36	0.5453468816
37	0.5442759401
38	0.5432781174
39	0.5424083803
40	0.5415947187
41	0.540844874
42	0.5401284224
43	0.5392428895
44	0.5386161762
45	0.5379176405
46	0.5373968524
47	0.5366204511
48	0.5359623782
49	0.5352255686
50	0.5346479591
51	0.5341514587
52	0.5335646378
53	0.5331015703
54	0.5325506834
55	0.5322071149
56	0.5318266525
57	0.5314959443
58	0.5310697824
59	0.5307324391
60	0.5303776337
61	0.5301988158
62	0.5295987186
63	0.5292994179
64	0.5290090967
65	0.5286792028
66	0.5284366025
67	0.528103194
68	0.5278627901
69	0.5276388107
70	0.5273444167
71	0.5270456574
72	0.526815785
73	0.5263683038
74	0.5260470749
75	0.5257206668
76	0.5254595411
77	0.5251459935
78	0.5248349817
79	0.5245325409
80	0.5242335573
81	0.5240212674
82	0.5237764778
83	0.5235465715
84	0.5232586915
85	0.5229602576
86	0.522615954
87	0.5224073624
88	0.5221124762
89	0.5219080158
90	0.5216864514
91	0.5215519744
92	0.5213015612
93	0.5211052961
94	0.5209233784
95	0.5207751404
96	0.5205888912
97	0.5203649511
98	0.5201972931
99	0.5200759642
100	0.5197763572
101	0.5195779095
102	0.519380547
103	0.5192543757
104	0.5190523989
105	0.5188515089
106	0.5187363382
107	0.5184498865
108	0.518216884
109	0.5180364601
110	0.5178810035
111	0.5177885342
112	0.5176034113
113	0.5174278428
114	0.5173095662
115	0.5172033298
116	0.5170657385
117	0.5168039611
118	0.5165463248
119	0.5163794498
120	0.5163050051
121	0.5161635194
122	0.5159664337
123	0.5157879675
124	0.5156451053
125	0.5154364002
126	0.5151903054
127	0.5151311561
128	0.5149822448
129	0.514748066
130	0.5145884874
131	0.5143765679
132	0.5142680487
133	0.5141383014
134	0.5139989178
135	0.5138274755
136	0.5136336593
137	0.5134598344
138	0.5133247347
139	0.5132378066
140	0.5130565898
141	0.5128998815
142	0.5127496721
143	0.5126357468
144	0.5125137565
145	0.5122909556
146	0.512132763
147	0.5119130721
148	0.5118054666
149	0.5117115675
150	0.5115670746
151	0.5114327324
152	0.511274512
153	0.5111159601
154	0.5109865556
155	0.5108365518
156	0.5106792843
157	0.5105571417
158	0.5104194992
159	0.5102947562
160	0.5101694376
161	0.5100562803
162	0.5099278246
163	0.5096808101
164	0.509527579
165	0.5093819421
166	0.5092658846
167	0.5090526153
168	0.5089136528
169	0.5087195552
170	0.5085621264
171	0.5084300459
172	0.5082331397
173	0.508056262
174	0.5079084552
175	0.507815616
176	0.5077161574
177	0.507644774
178	0.5075351018
179	0.5074059741
180	0.5071934156
181	0.5070554621
182	0.5069793576
183	0.5068329821
184	0.5066798629
185	0.5065899761
186	0.5064545742
187	0.5062868783
188	0.5061367206
189	0.5060809059
190	0.5058748482
191	0.5057114736
192	0.5055989518
193	0.5054301832
194	0.5053254279
195	0.5051795043
196	0.5050350867
197	0.5048814734
198	0.5047530585
199	0.5046581167
200	0.5045710282
201	0.5044009467
202	0.5041979522
203	0.5040064286
204	0.5038575432
205	0.5037919755
206	0.5036960551
207	0.5036000423
208	0.5034989864
209	0.5033514505
210	0.5032452702
211	0.5031012244
212	0.5029932662
213	0.5028825302
214	0.5027357519
215	0.5026481708
216	0.5025095919
217	0.5023772502
218	0.5022873371
219	0.5021946528
220	0.502046997
221	0.5019020956
222	0.5017908375
223	0.5016615039
224	0.501551382
225	0.5014022917
226	0.5013724093
227	0.5012684614
228	0.5011753513
229	0.5010000449
230	0.5008900621
231	0.5007992792
232	0.5006886945
233	0.5005467549
234	0.5004350069
235	0.5003232735
236	0.5001963475
237	0.5000530953
238	0.4999006267
239	0.4997379816
240	0.4996145537
241	0.4995132834
242	0.4994065684
243	0.4992851385
244	0.4990816985
245	0.4989476807
246	0.4987911176
247	0.4986894603
248	0.4985464876
249	0.4984170253
250	0.4982630335
251	0.4980274269
252	0.4978463751
253	0.4977261391
254	0.4976172596
255	0.4975350398
256	0.4974195433
257	0.4972877979
258	0.4971633182
259	0.4970699531
260	0.4969466239
261	0.496887208
262	0.4968453487
263	0.4966924603
264	0.4966163154
265	0.4964868784
266	0.496409848
267	0.4962832634
268	0.496138791
269	0.496018644
270	0.4958800054
271	0.4958138115
272	0.4957448336
273	0.4956693885
274	0.495574247
275	0.4954817816
276	0.4954034461
277	0.4952957738
278	0.4951394543
279	0.4950319104
280	0.4948991892
281	0.4948277243
282	0.4946967358
283	0.4945811488
284	0.4944534925
285	0.4942474672
286	0.4941590511
287	0.4940673677
288	0.4938970611
289	0.4937896979
290	0.4936829316
291	0.4935307648
292	0.4933602466
293	0.493270483
294	0.4931881805
295	0.493062803
296	0.4929166619
297	0.4928141127
298	0.4926658477
299	0.4924344741
300	0.4922830058
301	0.4921654044
302	0.4920659067
303	0.4919682547
304	0.4918551183
305	0.4916569452
306	0.4915640961
307	0.4914127826
308	0.4912865519
309	0.4911709942
310	0.4910151806
311	0.4908937004
312	0.4907659766
313	0.4905856442
314	0.4903900978
315	0.490214567
316	0.4900951199
317	0.4900114758
318	0.4899216126
319	0.4898219484
320	0.4896990996
321	0.4895780241
322	0.4893853033
323	0.4892997485
324	0.4891738423
325	0.4890427241
326	0.4889087288
327	0.4887991614
328	0.4886475549
329	0.4885253893
330	0.4884490476
331	0.4882926421
332	0.4882045417
333	0.4880783902
334	0.4879182805
335	0.4876553667
336	0.4874952956
337	0.487306891
338	0.4871452709
339	0.4869992849
340	0.4867888026
341	0.4866613729
342	0.4865226503
343	0.4863943735
344	0.4862546673
345	0.4860513331
346	0.4859511236
347	0.4857775147
348	0.485681479
349	0.4854566469
350	0.4852898778
351	0.4851740108
352	0.4850813363
353	0.4849742246
354	0.4848353353
355	0.4847044909
356	0.4845665429
357	0.4843235965
358	0.4841938252
359	0.4840573067
360	0.4838718754
361	0.4837579905
362	0.4835557202
363	0.4834146547
364	0.4832534987
365	0.4830643149
366	0.4829345178
367	0.4827726092
368	0.4826579606
369	0.4824438547
370	0.4822748334
371	0.4821895689
372	0.4820718785
373	0.481876683
374	0.4817459179
375	0.4815751203
376	0.481490479
377	0.4813475413
378	0.4811874358
379	0.4810830476
380	0.4809589345
381	0.4808037589
382	0.4806642041
383	0.4805519407
384	0.4804794772
385	0.4802873875
386	0.4801699241
387	0.4800443419
388	0.4798909654
389	0.4797874359
390	0.4797223781
391	0.4795802976
392	0.479451451
393	0.4792485497
394	0.4790722929
395	0.4788553731
396	0.4787879037
397	0.4786950482
398	0.4785597177
399	0.4784302823
400	0.4783758581
401	0.478290871
402	0.4781133661
403	0.4779992453
404	0.4778421379
405	0.4776842681
406	0.4774850955
407	0.4773718514
408	0.4772225717
409	0.4771084867
410	0.4770118233
411	0.4768590047
412	0.4767404234
413	0.4765721541
414	0.4763978411
415	0.4762333068
416	0.4760948343
417	0.4759806804
418	0.4758616878
419	0.4756590673
420	0.4755693513
421	0.4754168259
422	0.475306577
423	0.47517602
424	0.4750685299
425	0.4749635544
426	0.4748071573
427	0.4746347281
428	0.4745328772
429	0.4743753533
430	0.4742060298
431	0.474091129
432	0.473917809
433	0.4737541087
434	0.4736728362
435	0.4736111526
436	0.4735620769
437	0.4734696673
438	0.4732788834
439	0.4732484162
440	0.4731800722
441	0.4730603249
442	0.4729262488
443	0.4727776887
444	0.4726219773
445	0.472518734
446	0.4724059466
447	0.472216768
448	0.472198721
449	0.4720812376
450	0.4719861924
451	0.4718317451
452	0.4717128928
453	0.4714986017
454	0.4714111844
455	0.4712172543
456	0.4710675524
457	0.4710354783
458	0.4709568097
459	0.4708301157
460	0.4707129739
461	0.4706258569
462	0.4705280879
463	0.4704495569
464	0.4703012293
465	0.4701604885
466	0.4699711325
467	0.4697931368
468	0.4696843349
469	0.4694489176
470	0.4694317365
471	0.4693464148
472	0.4692515359
473	0.4692467952
474	0.4690989003
475	0.468984442
476	0.4688904223
477	0.4687135021
478	0.4685898172
479	0.4685055088
480	0.4684309306
481	0.4682989757
482	0.4681312658
483	0.4679778776
484	0.467848001
485	0.467836305
486	0.4676806926
487	0.467591209
488	0.4674619094
489	0.4673647633
490	0.4672454364
491	0.4671027478
492	0.4670523982
493	0.4669399742
494	0.4667188856
495	0.4665014883
496	0.4663591101
497	0.4662412442
498	0.4661169239
499	0.4659884208
500	0.465894535
501	0.465798323
502	0.4656706779
503	0.4655819485
504	0.4655447376
505	0.4654278664
506	0.4652827809
507	0.4651211687
508	0.4650237048
509	0.464984447
510	0.4648799107
511	0.464750232
512	0.464597521
513	0.4645029038
514	0.4643939181
515	0.4642911714
516	0.4641822327
517	0.4640809282
518	0.4639507075
519	0.4638563427
520	0.4637720634
521	0.4636252169
522	0.4634552318
523	0.4633402717
524	0.4632053463
525	0.4630856263
526	0.4629609451
527	0.4627996556
528	0.4626747306
529	0.4625592191
530	0.4624278939
531	0.4623213307
532	0.462194222
533	0.4620807304
534	0.4620671037
535	0.4619790277
536	0.4618305711
537	0.4616819008
538	0.4615770017
539	0.4615673945
540	0.4614607486
541	0.4613134518
542	0.4611935182
543	0.4611618568
544	0.4610400052
545	0.4609348773
546	0.4608227972
547	0.4606563026
548	0.4605462677
549	0.4604717717
550	0.4603854241
551	0.4602628375
552	0.4601934286
553	0.4600976213
554	0.4600217057
